time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-03 00:00:00+00:00,0,0,13,7
2025-08-04 00:00:00+00:00,0,0,11,8
2025-08-05 00:00:00+00:00,0,0,19,12
2025-08-06 00:00:00+00:00,0,0,16,10
2025-08-07 00:00:00+00:00,0,0,31,13
2025-08-08 00:00:00+00:00,0,0,23,15
2025-08-09 00:00:00+00:00,2,2,28,10
2025-08-10 00:00:00+00:00,1,1,14,11
2025-08-11 00:00:00+00:00,0,0,7,5
2025-08-12 00:00:00+00:00,2,2,9,9
2025-08-13 00:00:00+00:00,0,0,10,7
2025-08-14 00:00:00+00:00,0,0,14,9
2025-08-15 00:00:00+00:00,0,0,13,10
2025-08-16 00:00:00+00:00,0,0,16,6
2025-08-17 00:00:00+00:00,10,9,43,12
2025-08-18 00:00:00+00:00,7,7,24,14
2025-08-19 00:00:00+00:00,2,2,17,11
2025-08-20 00:00:00+00:00,2,2,22,14
2025-08-21 00:00:00+00:00,2,2,14,11
2025-08-22 00:00:00+00:00,5,5,24,14
2025-08-23 00:00:00+00:00,4,4,15,7
2025-08-24 00:00:00+00:00,1,1,16,11
2025-08-25 00:00:00+00:00,1,1,18,11
2025-08-26 00:00:00+00:00,1,1,11,8
2025-08-27 00:00:00+00:00,1,1,25,15
2025-08-28 00:00:00+00:00,2,2,33,17
2025-08-29 00:00:00+00:00,7,7,27,14
2025-08-30 00:00:00+00:00,3,3,16,12
2025-08-31 00:00:00+00:00,6,6,27,16
2025-09-01 00:00:00+00:00,6,6,34,16
2025-09-02 00:00:00+00:00,4,4,18,14
2025-09-03 00:00:00+00:00,6,6,37,19
2025-09-04 00:00:00+00:00,3,3,25,14
2025-09-05 00:00:00+00:00,1,1,52,18
2025-09-06 00:00:00+00:00,2,2,36,24
2025-09-07 00:00:00+00:00,4,4,41,23
2025-09-08 00:00:00+00:00,3,3,64,32
2025-09-09 00:00:00+00:00,3,3,65,21
2025-09-10 00:00:00+00:00,3,3,29,18
2025-09-11 00:00:00+00:00,5,5,55,20
2025-09-12 00:00:00+00:00,4,4,43,20
2025-09-13 00:00:00+00:00,3,3,53,30
2025-09-14 00:00:00+00:00,3,3,50,25
2025-09-15 00:00:00+00:00,2,2,35,22
2025-09-16 00:00:00+00:00,8,6,55,29
2025-09-17 00:00:00+00:00,7,5,36,23
2025-09-18 00:00:00+00:00,5,5,33,22
2025-09-19 00:00:00+00:00,3,3,46,18
2025-09-20 00:00:00+00:00,9,5,25,16
2025-09-21 00:00:00+00:00,4,4,39,22
2025-09-22 00:00:00+00:00,2,2,71,30
2025-09-23 00:00:00+00:00,4,4,38,21
2025-09-24 00:00:00+00:00,1,1,24,18
2025-09-25 00:00:00+00:00,3,3,98,19
2025-09-26 00:00:00+00:00,1,1,36,24
2025-09-27 00:00:00+00:00,1,1,47,20
2025-09-28 00:00:00+00:00,2,2,43,19
2025-09-29 00:00:00+00:00,7,7,107,28
2025-09-30 00:00:00+00:00,1,1,28,17
2025-10-01 00:00:00+00:00,6,6,28,17
2025-10-02 00:00:00+00:00,1,1,21,14
2025-10-03 00:00:00+00:00,4,4,22,15
2025-10-04 00:00:00+00:00,1,1,15,11
2025-10-05 00:00:00+00:00,6,6,53,22
2025-10-06 00:00:00+00:00,5,5,57,21
2025-10-07 00:00:00+00:00,5,5,54,27
2025-10-08 00:00:00+00:00,6,6,63,22
2025-10-09 00:00:00+00:00,1,1,60,27
2025-10-10 00:00:00+00:00,4,4,47,17
2025-10-11 00:00:00+00:00,5,5,38,19
2025-10-12 00:00:00+00:00,5,5,61,19
2025-10-13 00:00:00+00:00,7,7,29,18
2025-10-14 00:00:00+00:00,7,2,28,17
2025-10-15 00:00:00+00:00,22,7,37,21
2025-10-16 00:00:00+00:00,2,2,29,19
2025-10-17 00:00:00+00:00,20,5,37,22
2025-10-18 00:00:00+00:00,3,3,66,22
2025-10-19 00:00:00+00:00,2,2,48,30
2025-10-20 00:00:00+00:00,15,5,39,25
2025-10-21 00:00:00+00:00,14,3,28,21
2025-10-22 00:00:00+00:00,7,2,20,15
2025-10-23 00:00:00+00:00,1,1,35,20
2025-10-24 00:00:00+00:00,27,6,32,18
2025-10-25 00:00:00+00:00,3,3,20,12
2025-10-26 00:00:00+00:00,1,1,38,19
2025-10-27 00:00:00+00:00,3,3,38,18
2025-10-28 00:00:00+00:00,3,3,40,21
2025-10-29 00:00:00+00:00,7,2,43,23
2025-10-30 00:00:00+00:00,3,3,49,29
2025-10-31 00:00:00+00:00,15,4,20,14
2025-11-01 00:00:00+00:00,9,4,35,15
2025-11-02 00:00:00+00:00,2,2,33,20
2025-11-03 00:00:00+00:00,21,6,39,19
2025-11-04 00:00:00+00:00,1,1,45,21
2025-11-05 00:00:00+00:00,5,3,43,21
2025-11-06 00:00:00+00:00,4,4,34,24
2025-11-07 00:00:00+00:00,3,3,41,21
2025-11-08 00:00:00+00:00,6,6,54,25
2025-11-09 00:00:00+00:00,8,3,37,16
2025-11-10 00:00:00+00:00,13,6,39,22
2025-11-11 00:00:00+00:00,5,4,47,22
2025-11-12 00:00:00+00:00,3,3,51,32
2025-11-13 00:00:00+00:00,11,5,53,21
2025-11-14 00:00:00+00:00,5,5,36,22
2025-11-15 00:00:00+00:00,6,6,43,28
2025-11-16 00:00:00+00:00,2,2,40,22
2025-11-17 00:00:00+00:00,5,5,37,18
2025-11-18 00:00:00+00:00,7,7,30,18
2025-11-19 00:00:00+00:00,2,2,16,8
2025-11-20 00:00:00+00:00,3,3,30,18
2025-11-21 00:00:00+00:00,4,4,30,13
2025-11-22 00:00:00+00:00,3,3,75,26
2025-11-23 00:00:00+00:00,2,2,39,16
2025-11-24 00:00:00+00:00,3,3,59,27
2025-11-25 00:00:00+00:00,4,4,39,20
2025-11-26 00:00:00+00:00,4,4,43,23
2025-11-27 00:00:00+00:00,5,5,46,27
2025-11-28 00:00:00+00:00,5,5,38,22
2025-11-29 00:00:00+00:00,2,2,27,14
2025-11-30 00:00:00+00:00,2,2,17,13
2025-12-01 00:00:00+00:00,49,13,18,15
2025-12-02 00:00:00+00:00,17,5,15,13
2025-12-03 00:00:00+00:00,122,26,35,21
2025-12-04 00:00:00+00:00,8,4,38,21
2025-12-05 00:00:00+00:00,7,7,41,21
2025-12-06 00:00:00+00:00,10,6,25,14
2025-12-07 00:00:00+00:00,11,7,41,18
2025-12-08 00:00:00+00:00,3,3,34,21
2025-12-09 00:00:00+00:00,11,5,57,28
2025-12-10 00:00:00+00:00,8,4,36,25
2025-12-11 00:00:00+00:00,2,2,38,22
2025-12-12 00:00:00+00:00,9,5,67,27
2025-12-13 00:00:00+00:00,9,5,27,13
2025-12-14 00:00:00+00:00,7,3,30,16
2025-12-15 00:00:00+00:00,12,7,36,27
2025-12-16 00:00:00+00:00,10,6,59,28
2025-12-17 00:00:00+00:00,14,6,27,19
2025-12-18 00:00:00+00:00,3,3,37,22
2025-12-19 00:00:00+00:00,17,7,41,23
2025-12-20 00:00:00+00:00,9,5,55,25
2025-12-21 00:00:00+00:00,7,3,25,17
2025-12-22 00:00:00+00:00,5,5,58,25
2025-12-23 00:00:00+00:00,3,3,41,25
2025-12-24 00:00:00+00:00,15,4,15,10
2025-12-25 00:00:00+00:00,13,6,28,18
2025-12-26 00:00:00+00:00,10,3,34,17
2025-12-27 00:00:00+00:00,5,2,19,11
2025-12-28 00:00:00+00:00,10,3,34,19
2025-12-29 00:00:00+00:00,13,5,23,15
2025-12-30 00:00:00+00:00,9,5,47,22
2025-12-31 00:00:00+00:00,7,3,28,11
2026-01-01 00:00:00+00:00,4,4,32,18
2026-01-02 00:00:00+00:00,9,5,27,14
2026-01-03 00:00:00+00:00,9,5,35,21
2026-01-04 00:00:00+00:00,7,3,25,18
2026-01-05 00:00:00+00:00,6,2,35,16
2026-01-06 00:00:00+00:00,9,6,28,15
2026-01-07 00:00:00+00:00,10,6,30,15
2026-01-08 00:00:00+00:00,7,3,28,15
2026-01-09 00:00:00+00:00,9,4,22,18
2026-01-10 00:00:00+00:00,12,7,30,20
2026-01-11 00:00:00+00:00,9,5,32,19
2026-01-12 00:00:00+00:00,19,10,40,23
2026-01-13 00:00:00+00:00,9,4,32,17
2026-01-14 00:00:00+00:00,17,8,35,22
2026-01-15 00:00:00+00:00,8,4,27,17
2026-01-16 00:00:00+00:00,12,4,29,17
2026-01-17 00:00:00+00:00,10,6,32,18
2026-01-18 00:00:00+00:00,14,6,46,22
2026-01-19 00:00:00+00:00,12,6,23,11
